nome,construto1,construto2,construto3,construto4,construto5,construto6,construto7,construto8
AOL Favorável, Atenção,Atenção concentrada, atenção dividida, atenção alternada ,,,,
As Pirâmides Coloridas de Pfister Favorável,Personalidade,,,,,,,
Avaliação dos Interesses Profissionais (AIP) Favorável,Interesses/Motivações/Necessidades/Expectativas,,,,,,,
Bateria de Avaliação para Seleção - eletrônica (BASe) Favorável, Atenção,Inteligência ,Memória, Atenção concentrada, atenção dividida, atenção alternada ,,
Bateria de Funções Mentais para Motorista - Teste de Atenção Concentrada (BFM - 4 ) Favorável, Atenção,Atenção concentrada ,,,,,,
Bateria de Funções Mentais para Motorista - Teste de Memória (BFM - 2) Favorável,memória,,,,,,,
Bateria de Funções Mentais para Motorista - Teste de Raciocínio Lógico (BFM-3) Favorável,raciocínio lógico,,,,,,,
Bateria de Funções Mentais para Motorista - Testes de Atenção - 2a. edição (BFM-1) Favorável, Atenção,Atenção concentrada, difusa e discriminativa ,,,,,
Bateria de Provas de Raciocínio (BPR-5) Favorável,Raciocínio,,,,,,,
Bateria Fatorial de Personalidade (BFP) Favorável,Personalidade,,,,,,,
Bateria Geral de Funções Mentais - Teste de Memória de Reconhecimento (BGFM - 4) Favorável,memória de reconhecimento,,,,,,,
Bateria Geral de Funções Mentais - Testes de Atenção Concentrada (BGFM-2) Favorável, Atenção,atenção concentrada ,,,,,,
Bateria Geral de Funções Mentais - Testes de Atenção Difusa ( BGFM-1) Favorável, Atenção,Atenção Difusa ,,,,,,
Bateria Online de Inteligência Emocional (BOLIE) Favorável, Habilidades/Competências,Inteligência ,,,,,,
Bateria Psicológica para Avaliação da Atenção (BPA) Favorável, Atenção,Atenção geral - atenção concentrada, atenção dividida e atenção alternada ,,,,,
Bateria Psicológica para Avaliação da Atenção-2 (BPA-2) Favorável,Atenção,,,,,,,
Bateria Rotas de Atenção (Rotas) Favorável, Atenção,Processos perceptivos/cognitivos ,Atenção geral - atenção concentrada, atenção divida e atenção alternada ,,,,
Casa - Árvore- Pessoa - Técnica Projetiva de Desenho (HTP) Favorável,Personalidade,,,,,,,
Coleção de Testes de Atenção (CTA) Favorável, Atenção,Atenção Concentrada, Atenção Alternada e Atenção Dividida ,,,,,
Core Drivers Diagnostic - versão brasileira (CDD) Favorável,Personalidade,,,,,,,
Desenho da figura humana. Avaliação do desenvolvimento cognitivo infantil (DFH IV) Favorável,Desenvolvimento,,,,,,,
Escala de Inteligência Wechsler para Crianças - 4ª edição (WISC-IV) Favorável,Inteligência,,,,,,,
Escala Baptista de Depressão - Versão Adulto (EBADEP-A) Favorável,Depressão,,,,,,,
Escala Baptista de Depressão - versão idosos (EBADEP-ID) Favorável, Crenças/Valores/Atitudes,Processos afetivos/emocionais,Processos perceptivos/cognitivos ,Saúde Mental e Psicopatologia  ,,,,
Escala Baptista de Depressão - versão Infanto-Juvenil (EBADEP-IJ) Favorável, Processos afetivos/emocionais,Saúde Mental e Psicopatologia  ,,,,,,
Escala Baptista de Depressão - versão saúde (EBADEP-Saúde) Favorável,Saúde Mental e Psicopatologia,,,,,,,
Escala Brasileira de Burnout (EBBurn) Favorável, Processos afetivos/emocionais,Saúde Mental e Psicopatologia  ,,,,,,
Escala de Atenção Seletiva Visual (EASV) Favorável, Atenção,Atenção Seletiva visual ,,,,,,
"Escala de Autenticidade, Agressividade e Inibição (EdAAI) Favorável ", Assertividade (Autenticidade, Agressividade e Inibição) ,,,,,,
Escala de Autoeficácia no Trabalho (EAE-T) Favorável,Crenças/Valores/Atitudes,,,,,,,
Escala de Autoeficácia para Escolha Profissional (EAE-EP) Favorável,autoeficácia,,,,,,,
Escala de Avaliação da Impulsividade - Formas A e B (EsAvI-A e EsAvI-B) Favorável,impulsividade,,,,,,,
Escala de avaliação da motivação para aprender de alunos do ensino fundamental (EMA-EF) Favorável,Interesses/Motivações/Necessidades/Expectativas,,,,,,,
Escala de Avaliação Tipológica (EAT) Favorável,Personalidade,,,,,,,
Escala de Desesperança BECK (BHS) (BHS) Favorável, Crenças/Valores/Atitudes,Processos afetivos/emocionais,Processos perceptivos/cognitivos ,Saúde Mental e Psicopatologia  ,,,,
ESCALA DE DESREGULAÇÃO EMOCIONAL ADULTOS E ESCALA DE DESREGULAÇÃO EMOCIONAL INFANTOJUVENIL (EDEA e EDEIJ) Favorável, Habilidades/Competências,Processos afetivos/emocionais ,,,,,,
Escala de Empregabilidade Favorável,Potencial de empregabilidade,,,,,,,
Escala de Ideação Suicida Beck (BSS) (BSS) Favorável,Saúde Mental e Psicopatologia,,,,,,,
ESCALA DE IDENTIFICAÇÃO DE CARACTERÍSTICAS ASSOCIADAS ÀS ALTAS HABILIDADES/SUPERDOTAÇÃO ? AUTORRELATO (EICAH/SD) Favorável, Aprendizagem ,Crenças/Valores/Atitudes,Habilidades/Competências,Inteligência ,Interesses/Motivações/Necessidades/Expectativas     ,Processos afetivos/emocionais,Processos perceptivos/cognitivos ,
Escala de Inteligência Wechsler Abreviada (WASI) Favorável,Inteligência,,,,,,,
Escala de Inteligência Wechsler para Adultos (WAIS III) Favorável,Inteligência,,,,,,,
Escala de Matrizes de Vienna - 2 Versão Informatizada (WMT-2) Favorável,Inteligência,,,,,,,
Escala de Maturidade Mental Colúmbia Edição Brasileira Revisada (CMMS 3) Favorável, Habilidades/Competências,Inteligência ,Processos Neuropsicológicos    ,,,,,
Escala de Maturidade para a Escolha Profissional 2a. edição (EMEP) Favorável,Maturidade para escolha profissional,,,,,,,
Escala de Motivação para a Aprendizagem (EMAPRE) Favorável,motivação para aprendizagem,,,,,,,
Escala de Pensamentos Depressivos (EPD) Favorável,pensamentos depressivos,,,,,,,
Escala de Percepção do Suporte Social - Versão Adolescente ( EPSUS-Adol) Favorável,Percepção de suporte social,,,,,,,
Escala de Percepção do Suporte Social - Versão Adulto (EPSUS-A) Favorável,Percepção de Suporte social,,,,,,,
Escala de Suporte Laboral (ESUL) Favorável,Percepção do indivíduo sobre o suporte no seu local de trabalho,,,,,,,
Escala de Traços de Personalidade para Crianças (ETPC) Favorável,Personalidade,,,,,,,
Escala de Vulnerabilidade ao Estresse no Trabalho (EVENT) Favorável,Vulnerabilidade ao estresse,,,,,,,
Escala Geral (MPR ) Favorável,Inteligência,,,,,,,
Escala para Avaliação de Tendência à Agressividade (EATA) Favorável,Agressividade,,,,,,,
Figuras Complexas de Rey Favorável,Percepção visual e memória,,,,,,,
G-36 Teste não-verbal de inteligência Favorável,Inteligência,,,,,,,
G-38 Teste Não Verbal de Inteligência Favorável,Inteligência,,,,,,,
HumanGuide Favorável,Interesses/Motivações/Necessidades/Expectativas,,,,,,,
Instrumento de Avaliação Neuropsicológica Breve ( NEUPSILIN) Favorável, Atenção,Orientação têmporo-espacial, atenção concentrada, percepção visual, habilidades aritiméticas, linguagem oral e escrita, memória verbal e visual, praxias e funções executivas 
Instrumento de Avaliação Neuropsicológica Breve Infantil (NEUPSILIN-Inf ) Favorável,Processos Neuropsicológicos,,,,,,,
Inventário de Ansiedade Beck (BAI) (BAI) Favorável, Processos afetivos/emocionais,Saúde Mental e Psicopatologia  ,,,,,,
Inventário de Avaliação Ocupacional (IAO) Favorável,Personalidade,,,,,,,
Inventário de Cinco Fatores NEO Revisado - versão curta (NEO FFI-R) Favorável,Personalidade,,,,,,,
Inventário de Depressão de Beck (BDI-II) Favorável,Depressão,,,,,,,
Inventário de Expressão de Raiva como Estado e Traço (STAXI-2) Favorável,Personalidade,,,,,,,
Inventário de Habilidades Sociais 2 (IHS 2 Del Prette) Favorável, Habilidades/Competências,Habilidades Sociais ,,,,,,
Inventário de Habilidades Sociais Conjugais (IHSC) Favorável,Habilidades/Competências,,,,,,,
Inventário de Habilidades Sociais Para Adolescentes (IHSA-Del-Prette) Favorável,Habilidades/Competências,,,,,,,
"Inventário de Habilidades Sociais, Problemas de Comportamento e Competência Acadêmica para Crianças (SSRS) Favorável ",Habilidades/Competências,,,,,,,
Inventário de Interesses Profissionais (IIP) Favorável,Interesses/Motivações/Necessidades/Expectativas,,,,,,,
Inventário de Percepção de Suporte Familiar (IPSF) Favorável, Percepção de suporte familiar em relaçao a afetividade, autonomia e adaptação em relações familiares ,,,,,,
Inventário de Personalidade NEO Revisado (NEO PI-R ) Favorável,Personalidade,,,,,,,
Inventário de Sintomas de Stress para Adultos de Lipp ? Revisado (ISSL-R) Favorável,Saúde Mental e Psicopatologia,,,,,,,
Inventário Dimensional Clínico da Personalidade 2 e Inventário Dimensional Clínico da Personalidade versão triagem (IDCP-2 ) Favorável,traços patológicos de personalidade,,,,,,,
Inventário dos Seis Fatores de Personalidade (IFP-6) Favorável,Personalidade,,,,,,,
Inventário Fatorial de Personalidade (IFP-II) Favorável,Personalidade,,,,,,,
Inventário Fatorial de Personalidade Revisado - Versão Reduzida (IFP-R) Favorável,Personalidade,,,,,,,
Inventário Hogan de Personalidade (HPI) Favorável,Personalidade,,,,,,,
Manual do Teste de Pfister em Crianças e Adolescentes Favorável,Personalidade,,,,,,,
Marcadores De Resiliência Infantil (MRI) Favorável, Crenças/Valores/Atitudes,Desenvolvimento,Habilidades/Competências,Inteligência ,Interesses/Motivações/Necessidades/Expectativas     ,Personalidade    ,Processos afetivos/emocionais ,
Matrizes Avançadas de Raven Favorável,Inteligência,,,,,,,
Matrizes de Inteligência Geral Não-Verbal (MIG) Favorável,Inteligência,,,,,,,
Matrizes Progressivas Avançadas de Raven Favorável,Raciocínio e capacidade para resolução de problemas,,,,,,,
Matrizes Progressivas Coloridas de Raven (CPM) Favorável,Inteligência,,,,,,,
Memória de Faces Favorável,Memória de reconhecimento de faces,,,,,,,
Método de Avaliação de Pessoas (MAPA) Favorável,Perfil e competência comportamental,,,,,,,
Myers-Briggs Type Indicator -Inventário de Tipos Psicológicos (MBTI) Favorável, Personalidade    ,Tipos Psicológicos, Características e Preferências Pessoais ,,,,,
O teste de zulliger no sistema compreensivo - forma individual (ZSC ) Favorável,Personalidade,,,,,,,
O Teste Palográfico na Avaliação da Personalidade Favorável,Personalidade,,,,,,,
Orpheus - Inventário de Personalidade para o Trabalho Favorável,Personalidade,,,,,,,
Psicodiagnóstico Miocinético (PMK) Favorável, Crenças/Valores/Atitudes,Personalidade    ,,,,,,
QUATI - Questionário de Avaliação Tipológica Favorável,Personalidade,,,,,,,
"Questionário de Avaliação de Habilidades Sociais, Comportamentos e Contextos para Universitários (QHC UNIVERSITÁRIOS) Favorável ",Habilidades sociais de universitários,,,,,,,
Questionário de Busca Auto-Dirigida (SDS) Favorável,Habilidades/Competências,,,,,,,
Questionário de Personalidade para Crianças e Adolescentes (EPQ-J) Favorável,Personalidade,,,,,,,
R-1 - Forma B - Teste Não Verbal de Inteligência Favorável,Inteligência,,,,,,,
R-1 Teste não-verbal de inteligência Favorável,Inteligência,,,,,,,
R-2 Teste não-verbal de inteligência para crianças Favorável,Inteligência,,,,,,,
Raciocínio Abstrato (BRD_AR) Favorável,Inteligência,,,,,,,
Raciocínio Espacial (BRD_SR) Favorável,Inteligência,,,,,,,
Raciocínio Mecânico (BRD_MR) Favorável,Inteligência,,,,,,,
Raciocínio Verbal (BRD_VR ) Favorável,Inteligência,,,,,,,
Rorschach - Sistema Compreensivo Favorável,Personalidade,,,,,,,
Rorschach - Sistema de Avaliação por Performance (R-PAS) Favorável,Personalidade,,,,,,,
Rorschach Clínico Favorável,Personalidade,,,,,,,
Roteiro de Entrevista de Habilidades Sociais Educativas Parentais (RE-HSE-P) Favorável,Caracterização e levantamento de indicadores de problemas comportamentais de crianças escolares e pré-escolares,,,,,,,
SON-R 6-40_Teste Não -Verbal de Inteligência (SON-R 6-40) Favorável,Inteligência,,,,,,,
Sosie 2ª Geração Favorável,Personalidade,,,,,,,
Técnica de Apercepção para Idosos (SAT) Favorável, Personalidade    ,Técnicas Projetivas ,,,,,,
Teste AC Favorável, Atenção,atenção concentrada ,,,,,,
Teste computadorizado de atenção - versão visual (TCA Visual ) Favorável,Atenção,,,,,,,
Teste Conciso de Raciocínio (TCR) Favorável,Inteligência,,,,,,,
Teste d2 - Revisado (d2-R) Favorável,Processos perceptivos/cognitivos,,,,,,,
Teste D70 - Manual revisado e ampliado Favorável,Inteligência não-verbal,,,,,,,
Teste de Apercepção Infantil - Figuras de Animais (CAT-A) Favorável,Personalidade,,,,,,,
Teste de Apercepção Infantil - Figuras Humanas (CAT-H) Favorável,Personalidade,,,,,,,
Teste de Apercepção Temática (TAT) Favorável,Personalidade,,,,,,,
Teste de Aprendizagem Auditivo-Verbal de Rey (RAVLT) Favorável,Processos Neuropsicológicos,,,,,,,
Teste de Aptidão para Pilotagem Militar (TAPMIL) Favorável,Habilidades/Competências,,,,,,,
Teste de Atenção Concentrada (TEACO-FF) Favorável, Atenção,atenção concentrada ,,,,,,
Teste de Atenção Concentrada AC15 (AC15) Favorável, Atenção,atenção concentrada ,,,,,,
Teste de Atenção Concentrada-2 (TEACO-2) Favorável, Atenção,Processos Neuropsicológicos    ,Processos perceptivos/cognitivos ,,,,,
Teste de Atenção Dividida (TEADI) e Teste de Atenção Alternada (TEALT) Favorável, Atenção,Atenção dividida e atenção alternada ,,,,,,
Teste de Atenção Dividida-2 e Teste de Atenção Alternada-2 (TEADI-2 e TEALT-2) Favorável, Atenção, Atenção Dividida, Atenção Alternada ,,,,,
Teste de Atenção Seletiva (TAS) Favorável, Atenção,atenção seletiva ,,,,,,
Teste de Atenção Visual (TAVIS 4) Favorável, Atenção,Processos Neuropsicológicos    ,Processos perceptivos/cognitivos ,,,,,
Teste de Cancelamento dos Sinos Favorável,Processos Neuropsicológicos,,,,,,,
Teste de Criatividade Figural Infantil Favorável,criatividade figural,,,,,,,
Teste de Desenvolvimento do Raciocínio Indutivo (TDRI) Favorável, Desenvolvimento,Inteligência ,,,,,,
Teste de Habilidade para o Trabalho Mental (HTM) Favorável, Raciocínio Lógico Verbal, Numérico e Abstrato ,,,,,,
Teste de Habilidades e Conhecimento pré-alfabetização (THCP) Favorável,Habilidades/Competências,,,,,,,
Teste de Habilidades Sociais para crianças em situação escolar (THAS-C) Favorável,Habilidades/Competências,,,,,,,
Teste de Inteligência (TI) Favorável,Inteligência,,,,,,,
Teste de Inteligência Verbal (TIV) Favorável,Inteligência,,,,,,,
Teste de Memória de Reconhecimento (TEM-R) Favorável,memória de reconhecimento,,,,,,,
Teste de Memória de Reconhecimento 2 (TEM-R-2) Favorável,Memória,,,,,,,
Teste de Memória de Reconhecimento Memore (Memore) Favorável, Processos Neuropsicológicos    ,Processos perceptivos/cognitivos ,Memória ,,,,,
Teste de Memória Visual de Rostos (MVR) Favorável,memória visual,,,,,,,
Teste de Memória Visual para o Trânsito (MVT) Favorável,Memória visual,,,,,,,
Teste de Retenção Visual de Benton (BVRT) Favorável, memória visual, percepção visual e praxia visuoconstrutiva ,,,,,,
Teste de Trilhas Coloridas Favorável, Atenção,Atenção sustentada e dividida ,,,,,,
Teste de Zulliger no sistema Escola de Paris: forma individual Favorável, Personalidade    ,Processos afetivos/emocionais,Processos perceptivos/cognitivos ,Saúde Mental e Psicopatologia  ,,,,
Teste dos Cinco Dígitos (FDT) Favorável, Atenção,velocidade de processamento e funções executivas ,,,,,,
Teste dos Cubos para avaliação do Raciocínio Viso-Espacial Favorável,Raciocínio visuoespacial,,,,,,,
Teste dos relógios (B e C) Favorável,Inteligência,,,,,,,
Teste Gestaltico Visomotor de Bender - Sistema de Pontuação Gradual - Versão Revisada (B-SPG-rev) Favorável, Processos Neuropsicológicos    ,Processos perceptivos/cognitivos ,,,,,,
Teste Infantil de Memória - Forma Reduzida (TIME-R) Favorável, Processos Neuropsicológicos    ,Processos perceptivos/cognitivos ,,,,,,
Teste Matrizes de Viena -2 (WMT-2) Favorável,Inteligência,,,,,,,
Teste Não Verbal de Inteligência Geral BETA-III (Subtestes Raciocínio Matricial e Códigos) Favorável,Inteligência,,,,,,,
Teste Não-Verbal de Inteligência - SON-R 2½-7[a] Favorável,Inteligência,,,,,,,
Teste Não-Verbal de Raciocínio para Crianças (TNVRI) Favorável,Inteligência,,,,,,,
Teste Pictórico de Memória 2 (TEPIC-M-2) Favorável,Memória,,,,,,,
Teste Verbal de inteligência (V-47) Favorável,Inteligência,,,,,,,
Teste Wisconsin de Classificação de Cartas (WCST) Favorável, Processos Neuropsicológicos    ,Processos perceptivos/cognitivos ,,,,,,
Teste Wisconsin de Classificação de Cartas - versão para idosos Favorável,Raciocínio abstrato e estratégias de solução de problemas,,,,,,,
Z-Teste Coletivo e Individual Técnica de Zulliger Favorável,Personalidade,,,,,,,